actor_name,birth_year,known_for,actor_role,actor_awards
Darrean Brooks,none,,Reparto,None
Cierra Broussard,none,,Reparto,None
Bryant Cain,none,,Reparto,None
Lei Wu,1999,"Xing han can lan, Sha hai",Reparto,"Chinese American Film Festival (C.A.F.F.), Huading Award"
Beibi Gong,none,"Hannan xia ri, Inseparable","Reparto,  Producción,  Banda sonora","Beijing Student Film Festival, Beijing Youth Film Festival"
You Ge,1957,"Adiós a mi concubina, Rang zi dan fei",Reparto,"Cannes Film Festival, Golden Horse Film Festival"
Jiayin Lei,1983,"He ping fan dian, Héroe en dos mundos",Reparto,"Golden Horse Film Festival, Golden Rooster Awards"
Mintao Liu,1976,"Nirvana in Fire, Tian sheng chang ge",Reparto,"Golden Rooster Awards, Changchun Film Festival"
Sahan Gökbakar,1980,"Recep Ivedik 5, Osman Pazarlama","Reparto,  Guion,  Producción","Pantene Golden Butterfly Awards, Turkey Youth Awards"
Seda Türkmen,none,"Mi mentira más dulce, Secretos de familia","Reparto,  Banda sonora","Adana Film Festival, Sadri Alisik Theatre and Cinema Awards"
Dany Boon,1966,"Feliz Navidad, Una policía en apuros","Reparto,  Guion,  Producción","César Awards, France, European Film Awards"
Jérôme Commandeur,1976,"Irréductible, ""Ma famille tadore déjà""","Reparto,  Guion,  Dirección",None
Claire Chust,none,"Guépardes, Ad Vitam",Reparto,None
Alexandre Desrousseaux,none,"Papá o mamá 2, Play",Reparto,None
Grégory Gadebois,1976,"Des fleurs pour Algernon, Mon âme par toi guérie","Reparto,  Banda sonora","César Awards, France, Luchon International Film Festival"
Cristian Iacob,1968,"Vertiges, Epicentro","Reparto,  Guion",None
Anamaria Prodan,none,"Bravo, ai stil!, 40 de întrebari cu Denise Rifai",Reparto,None
Ioana Petric,none,Cronica Carcotasilor,Reparto,None
Karina Moldovan,none,,Reparto,None
Ebrar Alya Demirbilek,none,"Meleklerin Aski, Zevcat",Reparto,Pantene Golden Butterfly Awards
