actor_name,birth_year,know_for,actor_role,actor_awards
Gene Bervoets,1956,"Windkracht 10, Paradise Trips",Reparto,"Nederlands Film Festival, Shortcutz Amsterdam"
Enric Auquer,1988,"Vida perfecta, Fuga","Reparto,  Guion,  Producción","Cinema Writers Circle Awards, Spain, Fotogramas de Plata"
Macarena García,1988,"La Llamada, Palmeras en la nieve","Reparto,  Banda sonora","Cinema Writers Circle Awards, Spain, Goya Awards"
Flavio Marini,none,"Mr. & Mrs. Smith, Mordach - Tod in den Bergen","Especialistas,  Reparto",None
Noa Millán,none,"El Hogar, Noche de chicas",Reparto,None
Zöe Millán,none,"La promesa, El Hogar",Reparto,None
Kristyn Cheatham,none,"All of Her, No More Ugly Jessica",Reparto,None
Bonita Johnson,none,"Office Blue-Our Christmas, Double Standards","Reparto,  Dirección,  Guion",None
Zakee Slim Kornegay,none,"How 2 Catch A Baller, Busted & Disgusted","Reparto,  Guion,  Dirección de la segunda unidad o asistencia a dirección",None
Santana Sampson,none,,Reparto,None
Joshua T. Shipman,1987,"Swagger, Harriet: En busca de la libertad","Reparto,  Guion",None
Leon Abbington,none,"The Walk of Rufus, Hyde Park",Reparto,None
Kareem Ali,none,"Dawgs 4 Life, The Wayez","Reparto,  Sonido",None
Lennox Blu,none,"Shorty Got That Work, Substantial Evidence",Reparto,None
Donnell Brooks,none,"""Churchn with Church Folks"", Seasoned",Reparto,None
Sherell Brown,none,"N-Fidelity, The Final Say","Reparto,  Producción,  Dirección",None
Rayana Briggs,none,"Differences, Three Secrets",Reparto,None
Tyrone E Brown Jr.,none,,Reparto,None
Harriet Burnette,none,"""Lifes Cycles"", Busted & Disgusted","Reparto,  Dirección,  Vestuario",Asheville Film Festival
Rome Jeterr,none,"Crossing the Line, The One That Got Away",Reparto,None
Zakee Slim Kornegay,none,"How 2 Catch A Baller, Busted & Disgusted","Reparto,  Guion,  Dirección de la segunda unidad o asistencia a dirección",None
Briana Symone',none,"Celebrity Fever, Money Calling Chapter Three",Reparto,None
Ju Dabbs,none,"24 Hours Hot Pursuit, Money Calling","Reparto,  Dirección de fotografía y cámara,  Producción",None
Tameka Diggs,none,"Celebrity Fever, Money Calling Chapter Three",Reparto,None
Karen Edwards,none,"Like Gloves for the Cold, Mob Humor","Reparto,  Dirección de producción,  Producción","New Jersey Film Awards, London Indie Film Festival"
Patrick Greene,none,"Legend of Paul Pry, The 31","Reparto,  Dirección de fotografía y cámara,  Cámara y electricidad",None
Dagny Backer Johnsen,none,"Det Lyse Mørket, Vikingos","Reparto,  Equipos adicionales","Vancouver Film Critics Circle, The Norwegian International Seagull Shortfilm Festival"
Catharina Vu,none,"Tempestad por Navidad, Viaje sangriento",Reparto,None
Sacha Slengesol Balgobin,none,"Tistlebu, The Innocents","Reparto,  Casting,  Dirección de la segunda unidad o asistencia a dirección",Terror in the Bay Film Festival
Tiril Marie Olsen,none,"Alt du elsker, BMI-Turné",Reparto,None
Mikael Ulrichsen,none,"""Ill See You in Disneyland"", Mytomanen","Reparto,  Guion",None
Olivia Luccardi,1989,"Money Monster, Person to Person","Reparto,  Producción",None
James Cusati-Moyer,none,"Maestro, Oscura verdad",Reparto,None
Antonio De Matteo,none,"Los Médici: Señores de Florencia, Leonardo",Reparto,None
Romina D'Ugo,none,"12 monos, So You Think You Can Dance Canada","Reparto,  Equipos adicionales,  Banda sonora",Gemini Awards
Pia Engleberth,none,"Un giorno devi andare, The Broken Key",Reparto,"Recife Cine PE Audiovisual Festival, Golden Ciak Awards"
Micheal Ball,none,The Caged Bird,Reparto,None
Kevy Foxx,none,The Caged Bird,Reparto,None
Akeira Hamil,none,,Reparto,None
Joseph Jenkins,none,"Love Is Not Enough, Dietroit",Reparto,None
Roosevelt Johnson,none,"Listen to the Silence, Gang of Roses",Reparto,None
Micheal Ball,none,The Caged Bird,Reparto,None
Richard Brown Jr.,none,"Dietroit, Sunrise",Reparto,None
Shanise Danyelle,none,,Reparto,None
Jordan Jenkins,none,,Reparto,None
Jannelle A. Johnson,none,Sunrise,Reparto,None
Daniele Aiello,none,,Reparto,None
Martina Varriale,none,,Reparto,None
