actor_name,birth_year,known_for,actor_role,actor_awards
John Goodman,1952,"Barton Fink, Argo","Reparto,  Producción,  Banda sonora","Academy of Science Fiction, Fantasy & Horror Films, USA, American Comedy Awards, USA"
Victor Garber,1949,"Alias, Titanic","Reparto,  Equipos adicionales,  Música","Academy of Science Fiction, Fantasy & Horror Films, USA, Critics Choice Awards"
Emilia Jones,2002,"Brimstone. La hija del predicador, La juventud","Reparto,  Banda sonora","BAFTA Awards, BAFTA Awards, Wales"
Troy Kotsur,1968,"El número 23, Sue Thomas - el ojo del F.B.I.","Reparto,  Equipos adicionales,  Guion y continuidad","Academy Awards, USA, Boston Society of Film Critics Awards"
Daniel Durant,1989,"Cambiadas al nacer, Silent Notes","Reparto,  Banda sonora","Screen Actors Guild Awards, Gold Derby Awards"
John Fiore,1901,"El escándalo Ted Kennedy, Brotherhood","Reparto,  Producción,  Guion",Plymouth Independent Film Festival
Lonnie Farmer,1901,"Las normas de la casa de la sidra, El juez","Reparto,  Banda sonora",None
Colin Firth,1960,"El discurso del rey, Kingsman: Servicio secreto","Reparto,  Producción,  Guion","Academy Awards, USA, Film Critics Circle of Australia Awards"
Helena Bonham Carter,1966,"Los miserables, El club de la lucha","Reparto,  Dirección,  Producción","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Derek Jacobi,1938,"Gladiator, Morir todavía","Reparto,  Producción,  Banda sonora","BAFTA Awards, Critics Choice Awards"
Robert Portal,1967,"Mr. Turner, Las crónicas de Blancanieves: El cazador y la reina del hielo",Reparto,None
Richard Dixon,1901,"La chica danesa, Black Earth Rising",Reparto,None
Cillian Murphy,1976,"Origen, Sunshine","Reparto,  Producción,  Guion","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Emily Blunt,1983,"El diablo viste de Prada, Destino oculto","Reparto,  Producción,  Equipos adicionales","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Robert Downey Jr.,1965,"Iron Man 3, Sherlock Holmes","Reparto,  Producción,  Guion","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Alden Ehrenreich,1989,"Han Solo: Una historia de Star Wars, Hermosas criaturas","Reparto,  Dirección,  Guion","Chicago Film Critics Association Awards, Nashville Film Festival"
Scott Grimes,1971,"Critters, Mystery, Alaska","Reparto,  Composición,  Música","Academy of Science Fiction, Fantasy & Horror Films, USA, Young Artist Awards"
Jean Dujardin,1972,"OSS 117: El Cairo, nido de espías, El lobo de Wall Street","Reparto,  Dirección,  Guion","Academy Awards, USA, BAFTA Awards"
Bérénice Bejo,1976,"El pasado, OSS 117: El Cairo, nido de espías","Reparto,  Dirección de fotografía y cámara","Academy Awards, USA, ALMA Awards"
John Goodman,1952,"Barton Fink, Argo","Reparto,  Producción,  Banda sonora","Academy of Science Fiction, Fantasy & Horror Films, USA, American Comedy Awards, USA"
James Cromwell,1940,"La milla verde, La hija del general","Reparto,  Producción,  Banda sonora","Academy Awards, USA, Blockbuster Entertainment Awards"
Penelope Ann Miller,1964,"The Artist, Poli de guardería","Reparto,  Banda sonora","Academy of Science Fiction, Fantasy & Horror Films, USA, Chicago Film Critics Association Awards"
Mark Ruffalo,1967,"Los chicos están bien, Los Vengadores","Reparto,  Producción,  Guion","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Michael Keaton,1951,"Spotlight, El fundador","Reparto,  Equipos adicionales,  Producción","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Rachel McAdams,1978,"Chicas malas, Vuelo nocturno","Reparto,  Banda sonora","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Liev Schreiber,1967,"X-Men orígenes: Lobezno, El mensajero del miedo","Reparto,  Producción,  Equipos adicionales","Academy of Science Fiction, Fantasy & Horror Films, USA, Acapulco Black Film Festival"
John Slattery,1962,"Destino oculto, Ant-Man","Reparto,  Dirección,  Producción","Primetime Emmy Awards, Satellite Awards"
Chiwetel Ejiofor,1977,"Negocios ocultos, El niño que domó el viento","Reparto,  Dirección,  Guion","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Dwight Henry,1963,"12 años de esclavitud, Sexual Healing","Reparto,  Producción","Chicago Film Critics Association Awards, Image Awards (NAACP)"
Dickie Gravois,1901,,Reparto,None
Bryan Batt,1963,"12 años de esclavitud, Jeffrey","Reparto,  Producción","Screen Actors Guild Awards, Massachusetts Independent Film Festival"
Ashley Dyke,1901,"Los Hollar, Un lugar tranquilo 2","Reparto,  Guion,  Producción",None
Michael Keaton,1951,"Spotlight, El fundador","Reparto,  Equipos adicionales,  Producción","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Emma Stone,1988,"Rumores y mentiras, Pobres criaturas","Reparto,  Producción,  Banda sonora","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Kenny Chin,1901,"Our RoboCop Remake, ""These Birds Dont Fly South in the Winter""",Reparto,None
Jamahl Garrison-Lowe,1901,"The Battle Below, Have a Seat",Reparto,None
Zach Galifianakis,1969,"Birdman o, Salidos de cuentas","Reparto,  Producción,  Guion","Annie Awards, Primetime Emmy Awards"
Mahershala Ali,1974,"El canto del cisne, Green Book","Reparto,  Producción","Academy Awards, USA, BET Awards"
Shariff Earp,1901,"El clon de Tyrone, Samaritan","Reparto,  Banda sonora",Apolo Awards
Duan Sanderson,1901,"Acid Rain, Ctrl C","Reparto,  Equipos adicionales",Apolo Awards
Alex R. Hibbert,2004,"Black Panther, The Chi","Reparto,  Banda sonora","BET Awards, Boston Society of Film Critics Awards"
Janelle Monáe,1985,,"Music Artist,  Reparto,  Composición","BET Awards, Boston Society of Film Critics Awards"
Sally Hawkins,1976,"Happy, un cuento sobre la felicidad, Blue Jasmine","Reparto,  Guion,  Producción","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Michael Shannon,1974,"La forma del agua, Revolutionary Road","Reparto,  Producción,  Dirección","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Richard Jenkins,1947,"The visitor, Hermanos por pelotas","Reparto,  Producción,  Banda sonora","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Octavia Spencer,1970,"Criadas y señoras, Fruitvale Station","Reparto,  Producción,  Dirección","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Michael Stuhlbarg,1968,"Call Me by Your Name, La forma del agua","Reparto,  Banda sonora","Boston Society of Film Critics Awards, Critics Choice Awards"
Michelle Yeoh,1962,"Tigre y dragón, Crazy Rich Asians","Reparto,  Producción,  Guion","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Stephanie Hsu,1990,"The Path, Unbreakable Kimmy Schmidt","Reparto,  Producción,  Equipos adicionales","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Ke Huy Quan,1971,"Indiana Jones y el templo maldito, Los Goonies","Reparto,  Especialistas,  Equipos adicionales","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
James Hong,1929,"Golpe en la pequeña China, Kung Fu Panda","Reparto,  Producción,  Guion","Annie Awards, Daytime Emmy Awards"
Jamie Lee Curtis,1958,"Todo a la vez en todas partes, Mentiras arriesgadas","Reparto,  Producción,  Dirección","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Song Kang-ho,1967,"The Host, Parásitos",Reparto,"Asia-Pacific Film Festival, Cannes Film Festival"
Lee Sun-kyun,1975,"A Hard Day, Keopi peurinseu 1-hojeom","Reparto,  Responsable,  Banda sonora","International Emmy Awards, Screen Actors Guild Awards"
Cho Yeo-jeong,1981,"Bang-ja jeon, In-gan-jung-dok",Reparto,"Chicago Film Critics Association Awards, Screen Actors Guild Awards"
Choi Woo-sik,1990,"Okja, Geo-in","Reparto,  Banda sonora","Screen Actors Guild Awards, Blue Dragon Awards"
Park So-dam,1991,"Geomeun sajedeul, Desaparecidas",Reparto,"Screen Actors Guild Awards, Grand Bell Awards, South Korea"
