id_imdb,score_imdb,score_rt,director_imdb,screenriters_imdb,plot_rt,duration_imdb,title_imdb
tt31851449,none,none,Rachel Maclean,Rachel Maclean,none,16,Duck
tt31852656,none,26,Jud Nichols,Adam Burke,"Molly McGrath (Goldie Hawn) is following her dreams when she quits her cushy girls track coaching position at Prescott High to become the boys football coach at inner-city Central High. Even though she's faced with both racial and gender prejudices, she whips the team into shape, so they can compete against Prescott High in the final. All the while, Molly is also dealing with her ex-husband, Frank Needham (James Keach), who is trying to get custody of their two young daughters.",8,Wildcats
tt31862089,"9,2",none,Saran,Saran,none,40,Assistant Assassin
tt31864323,none,none,Kim Culetto,Simon Schärmeli,none,6,Midnight Punch
tt31867400,none,none,Clint Esposito,Clint Esposito,none,none,Barbie Car Brawl
tt31905542,none,none,Miguel Castillo Ordaz,Laura De La Luz Arvizu,none,none,"City of Angels, City of Vampires!"
tt31908967,none,none,none,none,none,6,The Brothers Swap
tt31911798,none,none,Joan Fernández Esplugas,Héctor Esteller,none,2,La Lluvia
tt31922005,none,none,none,none,none,none,Bloody Party
tt31936680,"9,2",none,Nigel J. Kim,Nigel J. Kim,none,none,Fallout: Deadweight
tt31943613,none,24,Justinian Calugarescu,Justinian Calugarescu,"During an FBI raid on a Moscow nightclub, the brother of Russian gangster Terek Murad (David Hayman) is killed. Murad wants revenge and hires anonymous hit man the Jackal (Bruce Willis) to kill FBI Deputy Director Carter Preston (Sidney Poitier). With the help of Russian agent Valentina Koslova (Diane Venora), Preston finds the only man who knows what the notorious Jackal looks like, imprisoned IRA terrorist Declan Mulqueen (Richard Gere), and forces him to help hunt down the hit man.",30,The Jackal
tt31947265,none,none,Michael Hel,Michael Hel,none,4,Replicants
tt31954902,none,none,Lola Louise,none,none,none,On the Run
tt31956498,none,none,The Pickler,The Pickler,none,none,Meat Worm
tt31956788,none,none,Muddana Chaitanya Abhiram,Muddana Chaitanya Abhiram,none,none,Roommates Part-3
tt31956961,none,none,Ezrie Gazali,Aaron Aziz,none,2,The Experts Selamatkan Raya
tt31960875,none,none,Dharsan,Dharsan,none,16,Fearless Bond 2 the Last Fight
tt31963001,none,none,Nisaro Karim,Nisaro Karim,none,none,The Wong House
tt31969822,none,Rodrig Andrisan,Rodrig Andrisan,1,Vampirtango,,
tt31969951,none,none,Rodrig Andrisan,Rodrig Andrisan,none,1,Panties for Cinderella
tt31970020,none,none,Rodrig Andrisan,Rodrig Andrisan,none,1,The Toothless Vampire
tt31968832,none,none,Kareem El-Mousa,Saif Elmousa,none,none,Deadly Nightmare: The Shadow's Awakening
tt31973510,none,none,none,none,none,9,Man vs Man
tt31973880,none,none,Brianna Paige Arsement,none,none,none,I Surprised My Cat with Her Dream Room!
