actor_name,birth_year,known_for,actor_role,actor_awards
Shoko Yoshii,0,0,Reparto,0
Annalise Cook,0,0,"Reparto,  Equipos adicionales",0
Steve Gee,0,0,"Reparto,  Producción",0
McKenna Munden,0,Leap,Reparto,0
Roman Nuttbrock,0,"Leap, Echos in the woods","Reparto,  Guion,  Producción",0
John Schimmelman,0,0,Reparto,0
Abigail Chay,0,"Chao bang ming mo, Love Endures",Reparto,0
Sonia Chew,0,"Trendsetters, ""Lets Talk About Health""",Reparto,0
Huifang Hong,0,"C.L.I.F., The Maid",Reparto,"Golden Horse Film Festival, Asian World Film Festival"
Alien Huang,0,"Gatao, Lovestore at the Corner","Reparto,  Banda sonora","Golden Bell Awards, Taiwan"
Xixi Lim,0,"Chao bang ming mo, The Interns",Reparto,0
Lily Kerrigan,0,"Katie, Last Strike","Reparto,  Guion",0
Chris Miller,0,"Panic 9-1-1, Melody of Love",Reparto,0
Christopher Miller,0,0,Reparto,0
Steven Milner,0,0,Reparto,0
Hamid Naweed,0,0,Reparto,0
Isabela Lachi,0,"Um Espaço Para Sonhar, A Filha Favorita do Terceiro Mundo","Reparto,  Producción,  Dirección",0
Guilherme Freire,0,"A Filha Favorita do Terceiro Mundo, Sonho de Valsa",Reparto,0
Eduarda Caroline,0,"Quando a Noite Acaba, Teu Silêncio Será Minha Vingança","Reparto,  Arte,  Dirección de la segunda unidad o asistencia a dirección",0
Julianne Borges,0,Quando a Noite Acaba,"Reparto,  Dirección de casting",0
Luana Saito,0,Quando a Noite Acaba,Reparto,0
Sidse Babett Knudsen,0,"Westworld, Inferno","Reparto,  Producción","Bodil Awards, BAFTA Awards"
Daniel Auteuil,1950,"El manantial de las colinas, La fille du puisatier","Reparto,  Dirección,  Guion","BAFTA Awards, British Independent Film Awards"
Alice Belaïdi,1987,"Radiostars, Hipócrates",Reparto,"""Alpe dHuez International Comedy Film Festival"", Globes de Cristal Awards, France"
Isabelle Candelier,1963,"Silencio pactado, ""À lintérieur""","Reparto,  Guion",0
Grégory Gadebois,1976,"Des fleurs pour Algernon, Mon âme par toi guérie","Reparto,  Banda sonora","César Awards, France, Luchon International Film Festival"
Elaine Aikens,0,"FanGirl, Kill Em with A Smile",Reparto,0
Mike Ajide,0,"FanGirl, Kill Em with A Smile",Reparto,0
Charity Lovely Badazz Alston,0,"Kill Em with A Smile, Too Little Too Late",Reparto,0
Brandon Bougerious,0,"Diamonds and Pearls, The Clean Up","Reparto,  Dirección de la segunda unidad o asistencia a dirección",0
Deatrice Chisolm,0,"Kill Em with A Smile, Have You Seen My Man?",Reparto,0
Raj Arjun,0,"Thalaivi, Raees",Reparto,"Filmfare Awards, Zee Cine Awards"
Bobby Simha,1983,"Urumeen, 777 Charlie","Reparto,  Producción","National Film Awards, India, Filmfare Awards South"
Anasuya Bharadwaj,1985,"Pushpa: The Rise - Part 1, Kshanam",Reparto,"Filmfare Awards South, South Indian International Movie Awards"
Vedhika,1988,"Kanchana 3, Kaaviya Thalaivan",Reparto,"Filmfare Awards South, South Indian International Movie Awards"
Indraja,1977,"Ugram, Ustaad",Reparto,"Conocido/a por, Más de esta persona"
Maria Josee Mancilla Cojulun,0,0,Reparto,0
Maximiliano Rodríguez Ruiz De Velasco,0,0,Reparto,0
Marcos Rivera,0,"Turboplatino, Los simuladores",Reparto,0
Marion Lanz-Duret,0,0,Reparto,0
Manon Bresch,0,"Un lugar por el que luchar, Jeunesse, mon amour",Reparto,0
Matthieu Lucci,0,"Jeunesse, mon amour, La mirada masculina: Delanteros y defensas",Reparto,"Lumiere Awards, France"
Dimitri Decaux,0,"Le soleil reviendra, Un si grand soleil",Reparto,0
Yves Batek Mendy,0,"Lupin, Jeunesse, mon amour","Reparto,  Especialistas,  Producción",0
Clémence Boisnard,0,"Osmosis, Zona Blanca",Reparto,0
Milos Bikovic,1988,"Montevideo, Bog te video!, Atrapado en el pasado","Reparto,  Producción,  Dirección","Moscow International Film Festival, Huading Award"
Regina Todorenko,0,"Novyy god, ya lyublyu tebya!, Sekrety semeynoy zhizni",Reparto,0
Karine Meier,0,0,Reparto,0
Kseniya Teplova,0,"YA na peremotke!, Ishcheyka",Reparto,0
Anara Batyrkhan,0,Instagramshizza,Reparto,0
Konstantin Khabenskiy,1972,"Guardianes del día, Guardianes de la noche","Reparto,  Dirección,  Producción","Nika Awards, Russian Guild of Film Critics"
Viktoriya Tolstoganova,1972,"Magnitnye buri, Vyshe neba",Reparto,"Nika Awards, Russian Guild of Film Critics"
Aleksandr Ilin,0,"YA zhenil svoikh roditeley, S pyati do semi","Reparto,  Composición",0
Anastasiya Talyzina,0,"Odin khoroshiy den, Vladivostok",Reparto,0
Viktoriya Poltorak,0,"YA zhenil svoikh roditeley, Rodina",Reparto,0
Aleksandr Gorbatov,0,"Aviator, Zloy gorod",Reparto,0
Roman Kurtsyn,1985,"Likho, Byvshiy v pomoshch","Reparto,  Producción,  Guion","Sozvezdie, Russian National Movie Awards"
Valeriya Astapova,0,"Devushki s Makarovym, BUMERang",Reparto,0
Yulia Mikhalkova-Matyukhina,0,"Vezuchiy sluchay, Stroyka","Reparto,  Producción",0
Sergey Khozumov,0,0,Reparto,0
Soslan Bitarov,0,0,Reparto,0
Roza Bekoeva,0,0,Reparto,0
Taymuraz Berozti,0,0,Reparto,0
Anton Togoyev,0,Sem chyornykh bumag,Reparto,0
Zalina Galaova,0,Sem chyornykh bumag,Reparto,0
Chuck Allen,0,"A Song for Imogene, Emotions of a Murder",Reparto,0
Rese Cheri,0,"Forbidden Fruit: First Bite, Forbidden Fruit: Second Bite",Reparto,0
Malachi E. Hamilton,0,"Love Travel, Emotions of a Murder","Reparto,  Producción",0
Jay Harmon III,0,"Hightown, Black Lightning",Reparto,0
