,type,name,release_year,release_month,id_imdb,genre
283,Movie,Bloodline,2024,5,tt32254860,Action
284,Movie,Carjorski Clan: Tale of the Fallen Knight,2024,8,tt32258691,Action
285,Movie,Spider-Man: Dimension Rift,2024,3,tt32263034,Action
286,Movie,Quantum Supremacy,2024,12,tt32263577,Action
287,Movie,La Ley de mi Raza,2024,4,tt32276885,Action
288,Movie,Bandida: A Número Um,2024,6,tt32277622,Action
289,Movie,Mu,2024,none,tt32277946,Action
290,Movie,Opasni shmatki,2024,4,tt32292858,Action
291,Movie,"War, Royal and Family/Impi Yobukhosi No Sapho",2024,1,tt32296336,Action
292,Movie,Savi,2024,5,tt32308617,Action
293,Movie,Purushothamudu,2024,5,tt32307843,Action
294,Movie,How to Rob a Bank,2024,6,tt32308418,Action
295,Movie,Mustaqim,2024,4,tt32323204,Action
296,Movie,Cruel War,2024,3,tt32323733,Action
297,Movie,Road Wars: Max Fury,2024,5,tt32338670,Action
298,Movie,Shekko,2024,4,tt32341799,Action
299,Movie,'Descontrol',2024,4,tt32350746,Action
300,Movie,Savi,2024,5,tt32356982,Action
301,Movie,Inkabi,2024,3,tt32365822,Action
302,Movie,Dirty Fellow,2024,5,tt32368060,Action
303,Movie,The Package,2024,4,tt32368135,Action
304,Movie,Desi Fantom (Punjabi),2024,,tt32369814,Action
305,Movie,Mutant,2024,5,tt32386443,Action
306,Movie,Karma,2024,6,tt32393172,Action
307,Movie,Surge of Power: Where There's Smoke,2024,8,tt32393674,Action
308,Movie,"Fool Me Once, Revenge on You",2024,4,tt32394692,Action
309,Movie,Bloods of Glasgow,2024,2,tt32400006,Action
310,Movie,Dünya Mali - Eksi Bir,2024,5,tt32429521,Action
311,Movie,Azotes de Barrio 2,2024,5,tt32434930,Action
312,Movie,Xiong Shi Shao Nian 2,2024,,tt32439604,Action
313,Movie,Saint Oniisan: The Movie ~Holy Men vs Akuma Gundan,2024,12,tt32446009,Action
314,Movie,Bring Back the Colour,2024,1,tt32453990,Action
315,Movie,Zêgapein STA,2024,8,tt32477753,Action
316,Movie,El Otro Joaquín,2024,5,tt32483165,Action
317,Movie,"The Triangulation of Olga, Miyoko & Latoiya",2024,5,tt32483425,Action
318,Movie,Big Brother,2024,5,tt32491118,Action
319,Movie,Aquila,2024,5,tt32452631,Action
320,Movie,Jurassic Juggernauts,2024,10,tt32524819,Action
321,Movie,Mummy Shark,2024,10,tt32525522,Action
322,Movie,The Yoshi Movie,2024,3,tt32536035,Action
323,Movie,Boxed in,2024,5,tt32552613,Action
324,Movie,Day of the Wicked,2024,none,tt32559640,Action
325,Movie,Outcome,2024,6,tt32563064,Action
326,Movie,King of UP,2024,1,tt32575647,Action
327,Movie,Sin reglas... combate a muerte,2024,5,tt32579058,Action
328,Movie,Lakeside's Mission: Impossible,2024,6,tt32589718,Action
329,Movie,Dark World,2024,6,tt32589808,Action
330,Movie,A Hero is Born,2024,7,tt32592573,Action
331,Movie,Revenge,2024,6,tt32600501,Action
332,Movie,Dirty Hands,2024,10,tt32381152,Action
333,Movie,Baby Assassins: Nice Days,2024,9,tt32382919,Action
334,Movie,Abnormal: Buas,2024,6,tt32409978,Action
335,Movie,Firewire Sniper,2024,,tt32573817,Action
336,Movie,City of Shadows,2024,,tt32635465,Action
337,Movie,Widowmaker,2024,12,tt32635877,Action
338,Movie,Give Me Babies,2024,5,tt32637137,Action
339,Movie,Bagundi,2024,,tt32641580,Action
340,Movie,Mafia wars,2024,3,tt32642556,Action
341,Movie,Ralph and Friends in New York,2024,12,tt32642579,Action
342,Movie,Young Love,2024,9,tt32642807,Action
343,Movie,La Venganza De Una Madre,2024,1,tt32649985,Action
344,Movie,Preventer,2024,11,tt32658244,Action
345,Movie,Night-shift Mannequin,2024,1,tt32670677,Action
346,Movie,Sathaan,2024,,tt32677501,Action
347,Movie,The Perfect Side Order,2024,,tt32732455,Action
348,Movie,The Pie Man,2024,4,tt32739984,Action
349,Movie,Operation Undead,2024,8,tt32750439,Action
350,Movie,Dragon Ball Kai: Doragon Bôru Kai,2024,6,tt32752865,Action
351,Movie,The Bottom Line,2024,7,tt32765408,Action
352,Movie,Pikmin Destruction,2024,6,tt32769006,Action
353,Movie,Wrong Number,2024,7,tt32799496,Action
354,Movie,Fûto Tantei: Kamen Rider Skull no Shôzô,2024,11,tt32809227,Action
355,Movie,Yuddha - The warrior of life,2024,,tt32813052,Action
356,Movie,The Carvzear,2024,9,tt32820492,Action
357,Movie,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2024,,tt32820897,Action
358,Movie,Deal - Telugu,2024,9,tt32827720,Action
359,Movie,Best Cop Ever,2024,3,tt32828584,Action
360,Movie,Voltage,2024,7,tt32844548,Action
361,Movie,The Flash,2023,6,tt0439572,Action
362,Movie,Shazam! Fury of the Gods,2023,3,tt10151854,Action
363,Movie,John Wick: Chapitre 4,2023,3,tt10366206,Action
364,Movie,Miraculous: Filmen om Ladybug & Cat Noir,2023,7,tt10364034,Action
365,Movie,Scavenger,2023,,tt10471692,Action
366,Movie,The Hunger Games: The Ballad of Songbirds & Snakes,2023,11,tt10545296,Action
367,Movie,The Marvels,2023,11,tt10676048,Action
368,Movie,Ant-Man and the Wasp: Quantumania,2023,2,tt10954600,Action
369,Movie,Untitled The Mafia: Payback Sequel,2023,,tt10955900,Action
370,Movie,Dark City: Interval_575,2023,9,tt11230362,Action
371,Movie,The Out-Laws,2023,7,tt11274492,Action
